E, cm-1	Sigma_00, cm2	
9.3949698083e+04	2.6355036331e-14
9.3959812135e+04	2.6397169954e-14
9.3970043302e+04	2.6437715740e-14
9.3980392941e+04	2.6476877259e-14
9.3990862423e+04	2.6325657888e-14
9.4001453135e+04	2.6363678563e-14
9.4012166483e+04	2.6207876322e-14
9.4023003885e+04	2.6245290269e-14
9.4033966778e+04	2.6281728376e-14
9.4045056616e+04	2.6316258001e-14
9.4056274868e+04	2.6348148909e-14
9.4067623021e+04	2.6193812826e-14
9.4079102579e+04	2.6225147590e-14
9.4090715065e+04	2.6255580369e-14
9.4102462017e+04	2.6284109969e-14
9.4114344992e+04	2.6310266419e-14
9.4126365565e+04	2.6157677416e-14
9.4138525331e+04	2.6007695054e-14
9.4150825899e+04	2.6033935390e-14
9.4163268902e+04	2.6058222270e-14
9.4175855987e+04	2.6080680480e-14
9.4188588825e+04	2.6102283281e-14
9.4201469101e+04	2.5955426506e-14
9.4214498524e+04	2.5976293157e-14
9.4227678821e+04	2.5995202422e-14
9.4241011738e+04	2.6012898421e-14
9.4254499044e+04	2.6029921072e-14
9.4268142524e+04	2.5884228903e-14
9.4281943989e+04	2.5899744199e-14
9.4295905268e+04	2.5914225532e-14
9.4310028210e+04	2.5928392007e-14
9.4324314689e+04	2.5941533326e-14
9.4338766597e+04	2.5952699800e-14
9.4353385850e+04	2.5962394964e-14
9.4368174386e+04	2.5971603576e-14
9.4383134165e+04	2.5980023958e-14
9.4398267171e+04	2.5834432512e-14
9.4413575408e+04	2.5841564789e-14
9.4429060906e+04	2.5848365583e-14
