E	J	a
210	125	0.16259467804572802
210	130	0.2852344666210203
210	135	1.01936392019759
210	140	0.8203407430109327
210	145	0.2894054785344812
210	150	0.04826385449263579
210	155	0.0129287070302712
210	160	0.10587870161583103
210	165	0.9419253960221198
210	170	3.712780122695783
210	175	4.147033516284165
210	180	0.42332659916536564
210	185	20.722125252694305
210	190	120.35185722805014
210	195	272.5194171318797
220	0	0.009083562880163916
220	5	0.0324879961179489
220	10	0.4975425489456632
220	15	0.04269099170726116
220	20	0.4959279163992779
220	25	0.5887454569618304
220	30	0.5172154720217041
220	35	0.04809978544745373
220	40	0.538360133209055
220	45	0.01869295882030734
220	50	0.5761927554604682
220	55	0.7318889932731144
220	60	0.4576909698430495
220	65	0.13796972455128237
220	70	0.0002916297872396139
220	75	0.21032186775318723
220	80	0.7332037480885493
220	85	1.012090155839419
220	90	0.4473586755219791
220	95	0.03450402124019672
220	100	1.0512356409768446
220	105	0.7172285914448757
220	110	0.2528188126228234
220	115	1.3961519647474256
220	120	0.1180393305105766
220	125	1.4892137869506707
220	130	0.8460958795406969
220	135	0.32380810557772455
220	140	2.2721593794729795
220	145	1.997151264616094
220	150	0.5338539801448108
220	155	0.0009030250739059344
220	160	0.16506409897977967
220	165	0.22488169801570945
220	170	0.0010368470420003915
220	175	1.3529976305108402
220	180	8.922403108064717
220	185	11.541639595474903
220	190	0.9310804784758586
220	195	52.402909823985
230	0	0.9036987460856495
230	5	1.1598114993752204
230	10	0.541917941928658
230	15	0.6670970804555038
230	20	0.0187644523779216
230	25	0.28089114726260633
230	30	0.09299423871898435
230	35	0.3229865970863137
230	40	1.338832689863488
230	45	0.25273065355868074
230	50	0.4625890168339166
230	55	1.503345278545264
230	60	1.5663479028419947
230	65	1.0205021076669316
230	70	0.36332325731531945
230	75	0.002286742833393272
230	80	0.38176560834498596
230	85	1.5393984284806423
230	90	2.237609936572906
230	95	1.0166003289526018
230	100	0.07009060556347572
230	105	2.289626997780969
230	110	1.5684386053852442
230	115	0.5273144476632069
230	120	3.055207936943007
230	125	0.18352505599313848
230	130	3.372510623759062
230	135	1.3806905367520457
230	140	1.217497546109056
230	145	5.048348813034916
230	150	2.7322839758034405
230	155	0.058484353888502455
230	160	1.0715509991748569
230	165	3.4864044563072025
230	170	5.272512221981483
230	175	5.45000791424255
230	180	2.9585250898996773
230	185	0.027561904817771016
230	190	13.805938917825358
230	195	34.27865718203538
240	0	0.17774985499353296
240	5	0.021496966997378825
240	10	0.3340223114472108
240	15	0.391721468719335
240	20	0.6614629745316938
240	25	0.41625629031225597
240	30	0.5295139824239361
240	35	0.7797196737846057
240	40	0.05273450135965731
240	45	0.8317638983883249
240	50	0.09403279956514425
240	55	0.1749816981319257
240	60	0.705619163000929
240	65	1.005203132365995
240	70	0.9825240738353777
240	75	0.6887675786831797
240	80	0.2503746998746509
240	85	8.269890319200015e-05
240	90	0.3923175377192123
240	95	1.2265236504683397
240	100	1.129668936056407
240	105	0.06506594993543466
240	110	0.8326089492260703
240	115	1.4658421515170048
240	120	0.007549962133700457
240	125	1.9140950780661037
240	130	0.04589544159781735
240	135	2.2381559927313965
240	140	0.0865085445710955
240	145	1.8499072361113473
240	150	2.359194971783003
240	155	0.16646809700798973
240	160	0.7997245683252049
240	165	3.0204338050747537
240	170	4.531495379768499
240	175	5.347113952291697
240	180	6.293545013517435
240	185	7.58116279597216
240	190	7.516271052882458
240	195	2.9044379578221347
250	0	0.2836423139560381
250	5	0.3045240209982527
250	10	0.08922771263456697
250	15	0.20131933485378134
250	20	0.0056100702192911035
250	25	0.11380808338495897
250	30	0.0970237933757862
250	35	0.0005933586973946514
250	40	0.3028183108064113
250	45	0.056465572729008505
250	50	0.392648813059625
250	55	0.1899819774558613
250	60	0.009192653064257657
250	65	0.041204040285974755
250	70	0.18861733151980992
250	75	0.36675945404768573
250	80	0.4992974165690963
250	85	0.4858692986497938
250	90	0.26796670016448587
250	95	0.017338954192187818
250	100	0.15272974609895842
250	105	0.608785878767368
250	110	0.4235759075679391
250	115	0.009665483770538753
250	120	0.6983220698419091
250	125	0.2644881587285991
250	130	0.4407894224001658
250	135	0.5001108138800711
250	140	0.5532124406235503
250	145	0.2590472390656829
250	150	1.1540026467016793
250	155	0.1592038074389791
