State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	
9.510037e+04	1.579320e-14	1.072512e+05	3.054501e-14	1.074079e+05	2.949391e-14	1.079609e+05	3.352660e-14	1.089430e+05	2.070135e-14
9.519577e+04	1.572876e-14	1.073466e+05	2.954637e-14	1.075033e+05	2.938579e-14	1.080563e+05	3.335954e-14	1.090384e+05	2.057349e-14
9.529566e+04	1.566296e-14	1.074465e+05	2.849836e-14	1.076031e+05	2.922964e-14	1.081562e+05	3.319030e-14	1.091382e+05	2.045646e-14
9.540026e+04	1.559809e-14	1.075511e+05	2.752588e-14	1.077077e+05	2.902550e-14	1.082608e+05	3.302735e-14	1.092428e+05	2.035107e-14
9.550978e+04	1.553272e-14	1.076606e+05	2.672724e-14	1.078173e+05	2.878718e-14	1.083703e+05	3.285843e-14	1.093524e+05	2.025195e-14
9.562447e+04	1.546640e-14	1.077753e+05	2.617026e-14	1.079320e+05	2.853879e-14	1.084850e+05	3.268728e-14	1.094671e+05	2.014771e-14
9.574456e+04	1.540003e-14	1.078954e+05	2.588595e-14	1.080521e+05	2.831286e-14	1.086051e+05	3.252216e-14	1.095872e+05	2.003492e-14
9.587032e+04	1.533351e-14	1.080212e+05	2.587605e-14	1.081778e+05	2.812941e-14	1.087308e+05	3.235605e-14	1.097129e+05	1.990833e-14
9.600200e+04	1.526595e-14	1.081528e+05	2.610842e-14	1.083095e+05	2.799716e-14	1.088625e+05	3.218366e-14	1.098446e+05	1.976620e-14
9.613989e+04	1.519887e-14	1.082907e+05	2.653445e-14	1.084474e+05	2.791389e-14	1.090004e+05	3.201483e-14	1.099825e+05	1.961016e-14
9.628427e+04	1.513008e-14	1.084351e+05	2.708992e-14	1.085918e+05	2.786165e-14	1.091448e+05	3.184746e-14	1.101269e+05	1.944325e-14
9.643546e+04	1.506249e-14	1.085863e+05	2.770655e-14	1.087429e+05	2.781711e-14	1.092960e+05	3.168066e-14	1.102780e+05	1.927167e-14
9.659377e+04	1.499291e-14	1.087446e+05	2.831801e-14	1.089013e+05	2.775671e-14	1.094543e+05	3.151019e-14	1.104364e+05	1.910330e-14
9.675955e+04	1.492368e-14	1.089104e+05	2.886554e-14	1.090670e+05	2.766096e-14	1.096201e+05	3.134025e-14	1.106021e+05	1.894100e-14
9.693314e+04	1.485364e-14	1.090840e+05	2.930008e-14	1.092406e+05	2.751608e-14	1.097937e+05	3.116855e-14	1.107757e+05	1.879479e-14
9.711491e+04	1.478365e-14	1.092657e+05	2.958676e-14	1.094224e+05	2.731847e-14	1.099754e+05	3.100163e-14	1.109575e+05	1.866490e-14
9.730524e+04	1.471378e-14	1.094561e+05	2.970341e-14	1.096127e+05	2.707309e-14	1.101658e+05	3.083754e-14	1.111478e+05	1.855424e-14
9.750455e+04	1.464296e-14	1.096554e+05	2.964381e-14	1.098120e+05	2.679484e-14	1.103651e+05	3.067029e-14	1.113471e+05	1.846055e-14
9.771325e+04	1.457129e-14	1.098641e+05	2.940860e-14	1.100207e+05	2.649897e-14	1.105738e+05	3.049737e-14	1.115558e+05	1.838252e-14
9.793179e+04	1.449915e-14	1.100826e+05	2.901233e-14	1.102393e+05	2.620492e-14	1.107923e+05	3.032149e-14	1.117744e+05	1.831737e-14
9.816062e+04	1.442786e-14	1.103115e+05	2.847931e-14	1.104681e+05	2.593177e-14	1.110211e+05	3.014866e-14	1.120032e+05	1.825746e-14
9.840024e+04	1.435512e-14	1.105511e+05	2.783256e-14	1.107077e+05	2.569586e-14	1.112608e+05	2.998460e-14	1.122428e+05	1.819643e-14
9.865115e+04	1.428259e-14	1.108020e+05	2.710462e-14	1.109586e+05	2.550459e-14	1.115117e+05	2.982328e-14	1.124937e+05	1.813253e-14
9.891389e+04	1.420914e-14	1.110647e+05	2.632691e-14	1.112214e+05	2.536270e-14	1.117744e+05	2.966465e-14	1.127565e+05	1.805991e-14
9.918901e+04	1.413485e-14	1.113398e+05	2.552726e-14	1.114965e+05	2.527202e-14	1.120495e+05	2.949775e-14	1.130316e+05	1.797113e-14
